feature,PSI_1_2,PSI_1_3,PSI_1_4,PSI_1_5,PSI_1_6,PSI_1_7,PSI_1_8,PSI_1_9,PSI_1_10,PSI_1_11,PSI_1_12,PSI_1_2,PSI_2_3,PSI_3_4,PSI_4_5,PSI_5_6,PSI_6_7,PSI_7_8,PSI_8_9,PSI_9_10,PSI_10_11,PSI_11_12
mths_since_recent_bc_dlq,0.000445166851527,0.000429875177444,0.00111311048905,0.00214422746666,0.00164667802787,0.00189630044109,0.00235651839279,0.00301375036534,0.00308135302114,0.00270485360233,0.00293008751661,0.000445166851527,0.000789332607637,0.000629182133474,0.000454243445989,0.000221390391631,0.000515383443482,0.000632919767609,0.000470298164646,0.000528872872071,0.000424527375857,0.000240452437327
mths_since_recent_inq,0.00150289839798,0.00210742814605,0.0016156184366,0.0038196778122,0.00386726446563,0.00406302819803,0.00383345679516,0.00384544729433,0.00278157963862,0.00172949755951,0.00193628533308,0.00150289839798,0.000895270174832,0.00348722869906,0.00137188080717,0.00208959978612,0.000742318633283,0.00135830074357,0.000368024964915,0.00287752817238,0.000665839741516,0.000882227758379
mths_since_recent_revol_delinq,0.000606904466766,0.000785998531927,0.00165158284825,0.0026146700866,0.00440124963982,0.00299933666444,0.00322596345727,0.00292999032786,0.00275520692517,0.00208796460416,0.00203073594635,0.000606904466766,0.000673795534141,0.000849896537721,0.000290295629338,0.00115557768513,0.000832114002378,0.000370053729393,0.000979645582325,0.000841443933823,0.000244407586225,0.000369001858386
num_accts_ever_120_pd,7.57252622373e-05,5.27080617618e-05,0.000254172902156,9.93636922275e-05,0.000135595704429,0.000482784741772,0.000733954220221,0.00233944471565,0.000805996113619,0.000779145315522,9.41615463088e-05,7.57252622373e-05,8.51244422673e-05,0.000251278714636,0.000117980022741,0.000239474658289,0.000609697412792,0.000299502323013,0.000710393885141,0.000646231953481,0.000220962184074,0.000367235386314
num_actv_bc_tl,0.000862418361364,0.000716190731952,0.00157332975139,0.00206248894115,0.00243101781954,0.00134691346277,0.00144925661945,0.00180008832138,0.00259194219101,0.00308349896781,0.00282168814516,0.000862418361364,8.57856846068e-05,0.00145646575448,0.000564323406987,0.00065173468595,0.00151728690269,0.00038041237316,0.001203944975,0.00108450568856,0.000183713339999,0.000213540707471
num_actv_rev_tl,0.00160886483805,0.000647456615228,0.00349405228987,0.00493539423842,0.00526878402737,0.00326755959396,0.00302367545419,0.00364208315764,0.00486044929078,0.00963936247017,0.00809878683666,0.00160886483805,0.000536224783568,0.0017671208068,0.000937081348094,0.000305726993782,0.00260463358677,0.000751342295108,0.000374438607106,0.00117694720353,0.00150070826986,0.000504294519458
num_bc_sats,0.000788594083703,0.000740222419391,0.000655376008103,0.000859199848376,0.000850722035204,0.00195517543117,0.00217476278812,0.00301786930292,0.00235545918123,0.00215287131797,0.00255487860916,0.000788594083703,0.000494198124567,0.000495728237526,0.000299872883771,0.000705147517531,0.00303306045122,0.000630485729327,0.00136312963415,0.00119295612791,0.0003270975941,0.000335355907677
num_bc_tl,0.000289914592751,0.000421121537167,0.00147807200332,0.00403340599453,0.00602669975982,0.0022231560607,0.00675701003491,0.0026825525374,0.00549453555366,0.00843931644134,0.00752206330187,0.000289914592751,0.000923318457443,0.00047981245051,0.000949256915072,0.000334056724179,0.00138512531947,0.0015834848768,0.00111648121368,0.000705441545718,0.000657468006637,0.000116376260934
num_il_tl,0.00210685316778,0.000885809893018,0.000288269506266,0.000427456145932,0.00112306821837,0.000440480733355,0.00290688682338,0.000355325080737,0.000707052248736,0.000603349028782,0.000585153096892,0.00210685316778,0.00114826823571,0.00100279671306,0.000672183043638,0.00115194088212,0.0012544726468,0.0029464699534,0.00176161743064,0.000159972955974,0.000189567229609,0.000780279022853
num_op_rev_tl,0.00108903046712,0.000181645688552,0.000398199012817,0.00108428170562,0.00130833467423,0.00197150521706,0.00136097180859,0.000776666031586,0.00107214227037,0.00331901007821,0.00132493349426,0.00108903046712,0.000700741349928,0.000416978473328,0.000376929305855,0.000784448808161,0.00128528414533,0.00174577733234,0.00109462266947,0.000803915820451,0.000531846636592,0.00071454978595
num_rev_accts,0.000646153824051,0.00150116726743,0.00135044579053,0.00261970762913,0.00346824734362,0.000499979802657,0.00333712650659,0.00116947445211,0.00246589474161,0.00551199675709,0.0050194554328,0.000646153824051,0.000775884618321,0.000771802349515,0.00113771692409,0.000602741450654,0.00205975309158,0.00218505410138,0.0010241179005,0.000699874470115,0.000781303947313,0.00027323081293
num_rev_tl_bal_gt_0,0.00140252004913,0.000330636734784,0.0024327223,0.00407396765395,0.00451258971314,0.0022640782231,0.00249311852573,0.00269810093242,0.00436159242274,0.0067771237792,0.00463929871931,0.00140252004913,0.000495492451598,0.00156135785424,0.000880142196705,0.000433198896919,0.00166782315326,0.00110157816013,0.000538104645096,0.00100703144646,0.000541734448317,0.000434345838549
num_sats,0.000252052844725,0.000672641555824,0.00059211217239,0.000411511438641,0.000401897747285,0.00222937773567,0.000875940998557,0.00126022493489,0.000815926348133,0.00124622235117,0.00118532139317,0.000252052844725,0.0012482522223,0.00128594718675,0.000510904976398,0.000370583103399,0.00184786361396,0.00335052648835,0.002676273973,0.00107564162561,0.000292952025242,0.00125465748755
num_tl_120dpd_2m,2.55504021749e-05,0.000126522775396,0.000330090193755,5.53399287869e-05,2.97911399265e-05,0.00118788072223,0.00173382231178,0.000939200616429,0.0011453156511,0.00114094157352,0.0008189046182,2.55504021749e-05,0.000264178571039,4.8168878938e-05,0.000120574376184,1.07307134269e-05,0.000848901642065,5.32366500039e-05,0.000120848344268,1.60709976482e-05,1.87176036339e-06,2.70151621662e-05
num_tl_30dpd,1.20599046824e-05,4.32475957188e-05,2.27537953429e-05,9.35336442481e-06,2.28816600799e-05,2.29519899764e-06,9.64768951504e-06,1.86618081666e-05,2.45998743045e-05,1.18232053902e-05,3.52672706688e-07,1.20599046824e-05,9.63110457815e-06,3.26191173678e-06,6.12880773142e-05,2.9759496253e-06,3.96719884783e-05,2.13546793876e-05,1.4733637722e-06,8.61219811789e-05,2.31429794799e-06,8.0918270963e-06
num_tl_90g_dpd_24m,5.82541822986e-06,0.000235054888866,5.38398862807e-05,0.000139887097728,3.32023062831e-05,5.61556162441e-05,5.25645416606e-05,0.000184788478527,6.77757191925e-05,9.37712430631e-05,2.90607242114e-05,5.82541822986e-06,0.000166867997896,6.3897894094e-05,2.01572501376e-05,3.67853944849e-05,2.99821036615e-06,5.93212691076e-08,0.000434496968736,0.000476426350653,2.10514908278e-06,1.84270617221e-05
num_tl_op_past_12m,0.000533989697533,0.000919970085614,0.00410116481437,0.00603794716202,0.00391309607376,0.00725350029124,0.00322153989485,0.00574246945119,0.00269142114928,0.00408200097395,0.00799024494472,0.000533989697533,0.00226144986684,0.00136749891208,0.000265853509173,0.00046230486399,0.000597713133295,0.00524858757301,0.000911212750802,0.00129186352654,0.000525363748554,0.00244665684108
pct_tl_nvr_dlq,0.00050696394995,0.000709253388487,0.0013971826825,0.00045303860285,0.000405144673082,0.000790006229773,0.00175772516225,0.00093642461594,0.000785634318251,0.000669822881176,0.00132926402796,0.00050696394995,0.00195037890926,0.000455083470305,0.000407211749843,0.000162597657112,0.000176812145379,0.000339918276677,0.00152317487592,0.000987778978507,0.000226895133955,0.000417922513297
percent_bc_gt_75,0.00213575808893,0.000511508429693,0.00373894221283,0.00755138529115,0.0137975664733,0.014264969287,0.0116685809173,0.0104639411601,0.0124408492397,0.0192351038846,0.0225239613828,0.00213575808893,0.0011840263827,0.00226083994178,0.00106918441231,0.00104838063717,0.000515309982003,0.000283267683319,4.06042430565e-05,0.000114377626585,0.00102657007173,0.00049366288393
pub_rec_bankruptcies,3.80337983538e-05,0.00026320500061,0.000772203237877,0.000678456248898,0.000720571852007,0.00107716134494,0.000236592238966,0.000503537800892,7.19163751146e-05,0.000564921243038,0.00090358907519,3.80337983538e-05,0.000198831652273,0.000181211372403,3.29960139288e-05,0.00016197459292,0.000402701580674,0.000379886793158,0.000272687174124,0.000262530779642,0.000347154376182,5.08244588094e-05
tax_liens,0.000116415883721,0.000282135235784,0.000217042141849,1.48059771916e-05,1.70269414586e-05,1.04021208111e-07,2.47423514146e-06,2.58723704872e-05,8.04403263601e-06,2.33357395912e-05,0.000329050382273,0.000116415883721,3.60802631179e-05,4.2611788799e-06,0.000118465030193,6.3589388525e-05,1.44692401105e-05,3.5928970836e-06,4.43487935774e-05,5.06371654427e-06,5.87823765587e-05,0.000177113891599
tot_hi_cred_lim,0.000500019405263,0.000941853720319,0.000699164457807,0.00124365265962,0.00139751754799,0.0024160002368,0.000636719104843,0.00430155728454,0.00305974434048,0.00255717148314,0.00248182073581,0.000500019405263,0.000534836437165,0.00100244427794,0.00119670028961,0.000422546350145,0.00227203061576,0.000940738343469,0.00211348049209,0.00137137189523,0.000655593878253,0.000387053323197
total_bal_ex_mort,0.00114566008768,0.000602930866776,0.000608104718635,0.000608407552379,0.000177522835527,0.00179316025854,0.000898397795693,0.00391442788002,0.00155642377003,0.00151154358042,0.003178649242,0.00114566008768,0.00140478527744,0.000507204565718,0.000225771093617,0.000348781637896,0.00176940014709,0.00231524933774,0.00421234612251,0.00177662848503,0.000169988770683,0.000507963914327
total_bc_limit,0.00175775851761,0.00105690788794,0.000812002803386,0.000737977406448,0.000961260288795,0.00224247387389,0.00293883038653,0.00758061602857,0.00435314758425,0.0034935488557,0.00373206919991,0.00175775851761,0.00257946007,0.000577761844332,0.000764005167378,0.00120074108093,0.00120435941134,0.000231581871451,0.00168109627206,0.000896390871078,0.000807133774814,0.000129868373268
total_il_high_credit_limit,0.00130817616789,0.000294666843532,0.00123526099115,0.0011324004621,0.0008353921216,0.00394485076962,0.00148636769926,0.00430700603586,0.00276036718858,0.00371200943244,0.00707552636986,0.00130817616789,0.00122467598861,0.000795195738982,0.000423848107473,0.000275547107055,0.00161044717514,0.00341694732829,0.00422289945599,0.000717461631891,0.000453443387385,0.000964269676058
